"Time [s]"	"Engine RPM"	"Vehicle Speed"	"Fuel Level Input"	"Distance since ECU reset"	"Absolute Engine Load"	"Commanded Equivalence Ratio"	"Comm. Throttle Actuator Cntrl"	
    2021-05-29 15:46:23.276	1696.5	41.0	79.21568298339844	3666.0	50.19607925415039	111.63330078125	24.3137264251709	
    2021-05-29 15:46:23.907	1674.0	41.0	73.33333587646484	3666.0	54.117645263671875	107.8460693359375	28.627450942993164	
    2021-05-29 15:46:24.536	1722.25	41.0	80.0	3666.0	44.313724517822266	103.582763671875	20.784313201904297	
    2021-05-29 15:46:25.166	1731.5	41.0	84.70587921142578	3666.0	44.313724517822266	108.123779296875	21.176469802856445	
    2021-05-29 15:46:25.797	1745.75	42.0	79.21568298339844	3666.0	44.70588302612305	106.658935546875	21.176469802856445	
    2021-05-29 15:46:26.458	1767.5	42.0	80.39215850830078	3666.0	44.70588302612305	107.0281982421875	20.784313201904297	
    2021-05-29 15:46:27.088	1799.5	43.0	82.35294342041016	3666.0	47.05882263183594	103.9794921875	22.745098114013672	
    2021-05-29 15:46:27.715	1833.75	44.0	76.47058868408203	3666.0	49.80392074584961	103.7445068359375	24.705883026123047	
    2021-05-29 15:46:28.409	1875.0	45.0	79.21568298339844	3666.0	48.235294342041016	101.8218994140625	34.90196228027344	
    2021-05-29 15:46:29.039	1920.75	46.0	82.35294342041016	3666.0	58.82352828979492	100.40283203125	34.117645263671875	
    2021-05-29 15:46:29.667	1975.5	47.0	80.0	3666.0	57.64706039428711	101.0009765625	25.490196228027344	
    2021-05-29 15:46:30.328	2008.25	48.0	80.0	3666.0	46.66666793823242	108.203125	17.254901885986328	
    2021-05-29 15:46:30.985	2036.75	49.0	76.47058868408203	3666.0	37.64706039428711	108.746337890625	14.509803771972656	
    2021-05-29 15:46:31.616	2053.75	49.0	80.0	3666.0	30.19607925415039	111.7218017578125	12.15686321258545	
    2021-05-29 15:46:32.280	2081.75	50.0	82.7450942993164	3666.0	24.705883026123047	106.9854736328125	10.588234901428223	
    2021-05-29 15:46:32.906	2089.25	50.0	79.21568298339844	3666.0	20.39215660095215	108.4228515625	8.627450942993164	
    2021-05-29 15:46:33.569	2051.5	49.0	79.21568298339844	3666.0	16.47058868408203	105.8685302734375	5.882352828979492	
    2021-05-29 15:46:34.197	2000.5	48.0	79.21568298339844	3666.0	13.72549057006836	109.2071533203125	6.666666507720947	
    2021-05-29 15:46:34.827	1939.0	46.0	76.07843017578125	3666.0	12.941176414489746	107.720947265625	7.058823585510254	
    2021-05-29 15:46:35.458	1939.75	46.0	80.0	3666.0	12.941176414489746	109.2559814453125	8.627450942993164	
    2021-05-29 15:46:36.056	1933.0	46.0	79.21568298339844	3666.0	13.72549057006836	100.0	9.019607543945312	
    2021-05-29 15:46:36.687	1957.0	47.0	80.0	3666.0	13.72549057006836	89.9993896484375	9.019607543945312	
    2021-05-29 15:46:37.352	1994.5	48.0	82.35294342041016	3666.0	13.72549057006836	89.9993896484375	8.235294342041016	
    2021-05-29 15:46:38.006	2031.75	49.0	78.82353210449219	3666.0	13.333333015441895	89.9993896484375	8.235294342041016	
    2021-05-29 15:46:38.637	2062.25	49.0	80.0	3666.0	13.333333015441895	89.9993896484375	8.627450942993164	
    2021-05-29 15:46:39.299	2099.25	50.0	79.21568298339844	3666.0	13.333333015441895	89.9993896484375	8.627450942993164	
    2021-05-29 15:46:39.930	2119.0	51.0	76.47058868408203	3666.0	12.941176414489746	89.9993896484375	8.235294342041016	
    2021-05-29 15:46:40.555	2108.5	50.0	80.0	3666.0	12.941176414489746	89.9993896484375	8.627450942993164	
    2021-05-29 15:46:41.188	2081.75	50.0	80.39215850830078	3666.0	13.333333015441895	89.9993896484375	8.627450942993164	
    2021-05-29 15:46:41.817	2087.0	50.0	79.21568298339844	3666.0	12.941176414489746	89.9993896484375	10.980392456054688	
    2021-05-29 15:46:42.479	2094.5	50.0	76.47058868408203	3666.0	17.254901885986328	89.9993896484375	9.803921699523926	
    2021-05-29 15:46:43.110	2100.25	50.0	76.07843017578125	3666.0	15.686274528503418	89.9993896484375	8.627450942993164	
    2021-05-29 15:46:43.739	2116.75	51.0	78.82353210449219	3666.0	13.333333015441895	89.9993896484375	8.627450942993164	
    2021-05-29 15:46:44.518	2133.25	51.0	80.0	3666.0	13.333333015441895	89.9993896484375	8.627450942993164	
    2021-05-29 15:46:45.329	2156.75	52.0	79.21568298339844	3666.0	12.941176414489746	89.9993896484375	9.019607543945312	
    2021-05-29 15:46:45.961	2178.5	52.0	73.33333587646484	3666.0	12.941176414489746	89.9993896484375	9.411765098571777	
    2021-05-29 15:46:46.587	2204.0	53.0	82.7450942993164	3666.0	12.941176414489746	89.9993896484375	9.411765098571777	
    2021-05-29 15:46:47.216	2228.5	53.0	80.0	3666.0	12.941176414489746	89.9993896484375	9.411765098571777	
    2021-05-29 15:46:47.851	2232.5	54.0	79.21568298339844	3666.0	12.941176414489746	89.9993896484375	9.411765098571777	
    2021-05-29 15:46:48.478	2242.25	54.0	80.0	3666.0	12.941176414489746	89.9993896484375	9.411765098571777	
    2021-05-29 15:46:49.145	2244.5	54.0	73.33333587646484	3666.0	12.941176414489746	89.9993896484375	9.411765098571777	
    2021-05-29 15:46:49.767	2241.25	54.0	73.33333587646484	3666.0	12.941176414489746	89.9993896484375	10.196078300476074	
    2021-05-29 15:46:50.460	2255.25	54.0	84.70587921142578	3666.0	13.72549057006836	89.9993896484375	10.196078300476074	
