"Time [s]"	"Coolant Temperature"	"Intake Manifold Pressure"	"Engine RPM"	"Vehicle Speed"	"Timing Advance (Cyl. #1)"	"Intake Air Temperature"	"Fuel Level Input"	"Distance since ECU reset"	"CAT Temperature B1S1"	"Commanded Equivalence Ratio"	"Comm. Throttle Actuator Cntrl"	"Ethanol fuel %"	
    2021-05-30 17:31:10.405	96.0	40.0	921.5	0.0	-1.5	45.0	51.764705657958984	4067.0	406.29998779296875	97.4761962890625	7.450980186462402	42.35293960571289	
    2021-05-30 17:31:11.605	96.0	39.0	914.25	0.0	2.0	45.0	52.156864166259766	4067.0	406.20001220703125	95.977783203125	7.058823585510254	42.35293960571289	
    2021-05-30 17:31:12.768	97.0	39.0	922.25	0.0	-1.5	45.0	51.764705657958984	4067.0	406.1000061035156	97.479248046875	7.450980186462402	42.35293960571289	
    2021-05-30 17:31:13.906	97.0	40.0	919.5	0.0	-1.0	45.0	51.764705657958984	4067.0	406.0	95.9808349609375	7.450980186462402	42.35293960571289	
    2021-05-30 17:31:15.113	97.0	40.0	926.25	0.0	-1.0	45.0	51.764705657958984	4067.0	406.0	97.5128173828125	7.450980186462402	42.35293960571289	
    2021-05-30 17:31:16.250	97.0	40.0	917.75	0.0	-1.0	45.0	52.156864166259766	4067.0	405.8999938964844	95.855712890625	7.450980186462402	42.35293960571289	
    2021-05-30 17:31:17.363	97.0	39.0	924.0	0.0	-2.0	45.0	51.764705657958984	4067.0	405.79998779296875	97.6409912109375	7.058823585510254	42.35293960571289	
    2021-05-30 17:31:18.483	97.0	40.0	923.5	0.0	0.0	45.0	51.764705657958984	4067.0	405.70001220703125	96.044921875	7.058823585510254	42.35293960571289	
    2021-05-30 17:31:19.548	98.0	40.0	919.5	0.0	-1.0	45.0	51.764705657958984	4067.0	405.70001220703125	93.682861328125	7.450980186462402	42.35293960571289	
    2021-05-30 17:31:20.631	98.0	39.0	912.0	0.0	1.5	45.0	51.3725471496582	4067.0	405.6000061035156	96.3623046875	7.058823585510254	42.35293960571289	
    2021-05-30 17:31:21.715	98.0	39.0	916.5	0.0	0.0	45.0	51.764705657958984	4067.0	405.5	93.6737060546875	7.450980186462402	42.35293960571289	
    2021-05-30 17:31:22.821	98.0	43.0	931.0	0.0	-1.5	45.0	52.156864166259766	4067.0	405.5	93.9239501953125	7.843137264251709	42.35293960571289	
    2021-05-30 17:31:23.929	98.0	45.0	908.5	0.0	-0.5	45.0	51.764705657958984	4067.0	405.5	98.077392578125	7.843137264251709	42.35293960571289	
    2021-05-30 17:31:25.037	98.0	45.0	897.25	0.0	9.5	45.0	51.764705657958984	4067.0	405.6000061035156	94.2413330078125	8.627450942993164	42.35293960571289	
    2021-05-30 17:31:26.178	98.0	44.0	941.5	0.0	-4.5	45.0	51.764705657958984	4067.0	405.6000061035156	98.7060546875	8.235294342041016	42.35293960571289	
    2021-05-30 17:31:27.286	98.0	42.0	913.75	0.0	1.0	45.0	51.764705657958984	4067.0	405.70001220703125	96.417236328125	7.843137264251709	42.35293960571289	
    2021-05-30 17:31:28.466	98.0	42.0	916.75	0.0	0.5	45.0	52.156864166259766	4067.0	405.70001220703125	98.101806640625	7.843137264251709	42.35293960571289	
    2021-05-30 17:31:29.602	98.0	42.0	916.0	0.0	1.5	45.0	51.764705657958984	4067.0	405.70001220703125	96.8505859375	7.843137264251709	42.35293960571289	
    2021-05-30 17:31:30.678	98.0	43.0	918.75	0.0	1.0	45.0	51.764705657958984	4067.0	405.6000061035156	98.25439453125	7.843137264251709	42.35293960571289	
    2021-05-30 17:31:31.758	98.0	42.0	912.5	0.0	1.5	45.0	51.764705657958984	4067.0	405.6000061035156	96.7193603515625	7.843137264251709	42.35293960571289	
    2021-05-30 17:31:32.870	98.0	43.0	917.0	0.0	1.0	45.0	52.156864166259766	4067.0	405.5	98.2818603515625	7.843137264251709	42.35293960571289	
    2021-05-30 17:31:33.981	98.0	42.0	911.0	0.0	3.0	45.0	51.764705657958984	4067.0	405.5	96.588134765625	7.843137264251709	42.35293960571289	
    2021-05-30 17:31:35.122	98.0	42.0	920.75	0.0	1.0	45.0	51.764705657958984	4067.0	405.3999938964844	98.406982421875	7.843137264251709	42.35293960571289	
    2021-05-30 17:31:36.251	98.0	43.0	914.75	0.0	1.0	45.0	51.764705657958984	4067.0	405.29998779296875	94.0948486328125	7.843137264251709	42.35293960571289	
    2021-05-30 17:31:37.432	97.0	42.0	919.25	0.0	0.5	45.0	51.764705657958984	4067.0	405.29998779296875	98.5382080078125	7.843137264251709	42.35293960571289	
    2021-05-30 17:31:38.600	96.0	42.0	920.25	0.0	2.5	45.0	51.764705657958984	4067.0	405.20001220703125	94.0948486328125	7.843137264251709	42.35293960571289	
    2021-05-30 17:31:39.839	95.0	43.0	923.25	0.0	-0.5	46.0	51.764705657958984	4067.0	405.1000061035156	98.6053466796875	7.843137264251709	42.35293960571289	
    2021-05-30 17:31:41.035	95.0	44.0	920.0	0.0	1.5	46.0	51.764705657958984	4067.0	405.1000061035156	94.134521484375	7.843137264251709	42.35293960571289	
    2021-05-30 17:31:42.590	94.0	42.0	918.75	0.0	0.5	46.0	51.764705657958984	4067.0	405.0	97.174072265625	7.843137264251709	42.35293960571289	
    2021-05-30 17:31:43.794	94.0	41.0	917.25	0.0	2.5	46.0	51.764705657958984	4067.0	404.8999938964844	93.841552734375	7.843137264251709	42.35293960571289	
    2021-05-30 17:31:44.932	93.0	39.0	925.5	0.0	-3.5	46.0	51.764705657958984	4067.0	404.8999938964844	96.8719482421875	7.450980186462402	42.35293960571289	
    2021-05-30 17:31:46.098	93.0	39.0	922.5	0.0	-2.0	46.0	51.764705657958984	4067.0	404.79998779296875	93.3074951171875	7.450980186462402	42.35293960571289	
    2021-05-30 17:31:47.237	93.0	40.0	927.5	0.0	-1.0	46.0	51.764705657958984	4067.0	404.79998779296875	98.1781005859375	7.450980186462402	42.35293960571289	
    2021-05-30 17:31:48.409	92.0	40.0	922.0	0.0	-0.5	46.0	51.3725471496582	4067.0	404.70001220703125	93.975830078125	7.450980186462402	42.35293960571289	
    2021-05-30 17:31:49.517	92.0	39.0	928.0	0.0	-2.0	46.0	51.764705657958984	4067.0	404.6000061035156	98.1292724609375	7.450980186462402	42.35293960571289	
    2021-05-30 17:31:50.605	92.0	40.0	910.0	0.0	1.5	46.0	51.764705657958984	4067.0	404.6000061035156	96.1639404296875	7.450980186462402	42.35293960571289	
    2021-05-30 17:31:51.708	92.0	40.0	928.25	0.0	-2.0	46.0	51.764705657958984	4067.0	404.5	97.9461669921875	7.450980186462402	42.35293960571289	
    2021-05-30 17:31:52.880	91.0	39.0	917.0	0.0	1.0	46.0	51.764705657958984	4067.0	404.5	95.2667236328125	7.450980186462402	42.35293960571289	
    2021-05-30 17:31:54.017	91.0	40.0	917.25	0.0	0.0	46.0	51.764705657958984	4067.0	404.5	98.1048583984375	7.450980186462402	42.35293960571289	
