"Time [s]"	"Coolant Temperature"	"Intake Manifold Pressure"	"Engine RPM"	"Vehicle Speed"	"Intake Air Temperature"	"Fuel Level Input"	"Distance since ECU reset"	"CAT Temperature B1S1"	"Absolute Engine Load"	"Commanded Equivalence Ratio"	"Comm. Throttle Actuator Cntrl"	"Ethanol fuel %"	
    2021-05-29 15:23:49.658	88.0	36.0	1766.0	11.0	47.0	80.0	3657.0	487.79998779296875	38.039215087890625	102.880859375	11.372549057006836	52.54901885986328	
    2021-05-29 15:23:50.763	88.0	89.0	1869.25	13.0	47.0	97.64705657958984	3657.0	488.8999938964844	52.94117736816406	101.4068603515625	28.627450942993164	52.54901885986328	
    2021-05-29 15:23:52.148	88.0	63.0	1611.25	19.0	47.0	79.21568298339844	3657.0	496.1000061035156	64.70587921142578	100.958251953125	25.490196228027344	52.54901885986328	
    2021-05-29 15:23:53.232	88.0	28.0	2263.0	24.0	47.0	87.45098114013672	3657.0	503.6000061035156	20.0	89.9993896484375	8.235294342041016	52.54901885986328	
    2021-05-29 15:23:54.364	88.0	38.0	1695.0	26.0	46.0	76.07843017578125	3657.0	503.5	28.627450942993164	89.9993896484375	10.980392456054688	52.54901885986328	
    2021-05-29 15:23:55.484	88.0	31.0	1535.25	26.0	47.0	80.0	3657.0	503.29998779296875	20.784313201904297	89.9993896484375	8.627450942993164	52.54901885986328	
    2021-05-29 15:23:56.588	88.0	41.0	1541.0	26.0	47.0	87.8431396484375	3657.0	503.5	19.60784339904785	101.0009765625	11.764705657958984	52.54901885986328	
    2021-05-29 15:23:57.666	88.0	43.0	1570.0	27.0	47.0	85.09803771972656	3657.0	504.0	23.921567916870117	102.850341796875	11.372549057006836	52.54901885986328	
    2021-05-29 15:23:58.743	89.0	36.0	1616.75	28.0	47.0	82.35294342041016	3657.0	504.20001220703125	22.352941513061523	97.49755859375	10.196078300476074	52.54901885986328	
    2021-05-29 15:23:59.841	89.0	32.0	1672.75	29.0	47.0	90.19607543945312	3657.0	504.0	16.47058868408203	102.9754638671875	9.019607543945312	52.54901885986328	
    2021-05-29 15:24:00.975	89.0	46.0	1389.75	24.0	47.0	80.0	3657.0	503.29998779296875	24.705883026123047	98.47412109375	10.196078300476074	52.54901885986328	
    2021-05-29 15:24:02.079	89.0	56.0	1232.75	21.0	47.0	79.21568298339844	3657.0	502.6000061035156	30.980392456054688	104.8797607421875	11.764705657958984	52.54901885986328	
    2021-05-29 15:24:03.244	89.0	66.0	1023.5	17.0	48.0	67.45098114013672	3658.0	502.0	37.64706039428711	99.884033203125	12.15686321258545	52.54901885986328	
    2021-05-29 15:24:04.328	89.0	55.0	1015.75	15.0	48.0	73.33333587646484	3658.0	501.20001220703125	31.764705657958984	103.2623291015625	10.588234901428223	52.54901885986328	
    2021-05-29 15:24:05.403	89.0	51.0	999.0	15.0	47.0	76.47058868408203	3658.0	500.5	33.72549057006836	100.48828125	9.019607543945312	52.54901885986328	
    2021-05-29 15:24:06.485	89.0	48.0	1058.25	16.0	47.0	82.35294342041016	3658.0	499.5	22.352941513061523	99.6856689453125	13.72549057006836	52.54901885986328	
    2021-05-29 15:24:07.564	90.0	68.0	1444.0	16.0	47.0	73.7254867553711	3658.0	499.0	41.17647171020508	103.22265625	17.647058486938477	52.54901885986328	
    2021-05-29 15:24:08.644	90.0	47.0	1765.0	19.0	48.0	79.21568298339844	3658.0	499.1000061035156	34.90196228027344	96.1883544921875	14.117647171020508	52.54901885986328	
