"Time [s]"	"Engine RPM"	"Vehicle Speed"	"Timing Advance (Cyl. #1)"	"Absolute Throttle Position"	"Time Since Engine Start"	"Commanded Equivalence Ratio"	
    2021-05-28 18:25:58.383	1688.75	29.0	6.0	16.47058868408203	0.05055555701255798	89.9993896484375	
    2021-05-28 18:25:58.922	1662.75	28.0	6.5	16.47058868408203	0.050833333283662796	89.9993896484375	
    2021-05-28 18:25:59.464	1592.75	27.0	31.5	17.254901885986328	0.050833333283662796	89.9993896484375	
    2021-05-28 18:26:00.002	1515.75	27.0	29.0	18.039215087890625	0.05111110955476761	89.9993896484375	
    2021-05-28 18:26:00.542	1492.75	26.0	15.5	16.86274528503418	0.05111110955476761	89.9993896484375	
    2021-05-28 18:26:01.083	1456.5	25.0	18.5	17.254901885986328	0.05138888955116272	89.9993896484375	
    2021-05-28 18:26:01.623	1378.5	23.0	10.0	17.254901885986328	0.05138888955116272	89.9993896484375	
    2021-05-28 18:26:02.162	1240.5	20.0	13.5	16.86274528503418	0.05166666582226753	89.9993896484375	
    2021-05-28 18:26:02.702	1134.25	16.0	10.5	16.47058868408203	0.05166666582226753	89.9993896484375	
    2021-05-28 18:26:03.245	1038.25	13.0	7.0	16.86274528503418	0.05194444581866264	89.9993896484375	
    2021-05-28 18:26:03.784	988.25	12.0	21.0	20.784313201904297	0.052222222089767456	89.9993896484375	
    2021-05-28 18:26:04.324	1412.0	11.0	22.5	22.745098114013672	0.052222222089767456	100.421142578125	
    2021-05-28 18:26:04.864	1701.5	12.0	27.0	23.52941131591797	0.05249999836087227	96.923828125	
    2021-05-28 18:26:05.404	1334.0	14.0	11.5	33.33333206176758	0.05249999836087227	98.74267578125	
    2021-05-28 18:26:05.943	1358.5	15.0	-11.0	32.156864166259766	0.05277777835726738	95.7855224609375	
    2021-05-28 18:26:06.483	1533.0	17.0	17.5	26.27450942993164	0.05277777835726738	95.599365234375	
    2021-05-28 18:26:07.025	1628.0	18.0	10.0	27.058822631835938	0.05305555462837219	92.926025390625	
    2021-05-28 18:26:07.562	1798.0	20.0	26.5	28.627450942993164	0.05305555462837219	95.1690673828125	
    2021-05-28 18:26:08.104	1953.0	21.0	-6.0	25.882352828979492	0.0533333346247673	104.998779296875	
    2021-05-28 18:26:08.643	1998.0	22.0	-1.5	18.431371688842773	0.0533333346247673	89.9993896484375	
    2021-05-28 18:26:09.183	1848.75	22.0	-5.0	27.843137741088867	0.053611110895872116	100.323486328125	
    2021-05-28 18:26:09.723	1514.25	24.0	0.0	34.117645263671875	0.05388888716697693	98.382568359375	
    2021-05-28 18:26:10.266	1474.75	25.0	2.0	32.94117736816406	0.05388888716697693	95.2667236328125	
