"Time [s]"	"Coolant Temperature"	"Intake Manifold Pressure"	"Engine RPM"	"Vehicle Speed"	"Distance since MIL activated"	"Fuel Level Input"	"Distance since ECU reset"	"CAT Temperature B1S1"	"Absolute Engine Load"	"Commanded Equivalence Ratio"	"Ethanol fuel %"	
    2021-06-03 13:14:40.168	90.0	26.0	1908.5	57.0	0.0	98.4313735961914	4334.0	614.0	13.333333015441895	89.9993896484375	22.352941513061523	
    2021-06-03 13:14:41.168	90.0	26.0	1772.0	53.0	0.0	90.19607543945312	4334.0	608.9000244140625	13.333333015441895	89.9993896484375	22.352941513061523	
    2021-06-03 13:14:42.182	89.0	26.0	1615.75	48.0	0.0	98.03921508789062	4334.0	604.2000122070312	13.72549057006836	89.9993896484375	22.352941513061523	
    2021-06-03 13:14:43.170	89.0	32.0	1403.5	42.0	0.0	100.0	4334.0	599.0999755859375	14.901960372924805	89.9993896484375	22.352941513061523	
    2021-06-03 13:14:44.319	88.0	52.0	1284.75	38.0	0.0	99.21568298339844	4334.0	594.0999755859375	21.568628311157227	89.9993896484375	22.352941513061523	
    2021-06-03 13:14:45.359	88.0	48.0	1224.0	36.0	0.0	97.64705657958984	4334.0	589.0	29.80392074584961	89.9993896484375	22.352941513061523	
    2021-06-03 13:14:46.383	87.0	55.0	1113.25	31.0	0.0	97.2549057006836	4334.0	584.7000122070312	29.41176414489746	89.9993896484375	22.352941513061523	
    2021-06-03 13:14:47.405	87.0	54.0	971.75	26.0	0.0	99.21568298339844	4334.0	580.0	31.372549057006836	98.9990234375	22.352941513061523	
    2021-06-03 13:14:48.417	87.0	56.0	939.75	24.0	0.0	98.03921508789062	4334.0	577.2000122070312	33.33333206176758	102.2491455078125	22.352941513061523	
    2021-06-03 13:14:49.439	87.0	57.0	937.5	23.0	0.0	99.21568298339844	4334.0	574.7000122070312	33.72549057006836	101.1260986328125	22.352941513061523	
    2021-06-03 13:14:50.459	86.0	56.0	958.5	22.0	0.0	98.03921508789062	4334.0	572.2000122070312	41.568626403808594	99.4110107421875	22.352941513061523	
    2021-06-03 13:14:51.482	86.0	53.0	1185.0	18.0	0.0	90.19607543945312	4334.0	570.0999755859375	30.58823585510254	99.6124267578125	22.352941513061523	
    2021-06-03 13:14:52.502	86.0	51.0	1020.5	13.0	0.0	100.0	4334.0	567.5999755859375	31.372549057006836	96.881103515625	22.352941513061523	
    2021-06-03 13:14:53.489	86.0	50.0	944.0	12.0	0.0	100.0	4334.0	565.2000122070312	30.19607925415039	99.3896484375	22.352941513061523	
    2021-06-03 13:14:54.528	86.0	69.0	927.0	12.0	0.0	97.64705657958984	4334.0	563.0999755859375	28.627450942993164	97.796630859375	22.352941513061523	
